# warthog xy Energy graph 
# this file is formatted as follows: [header data] [node data] [edge data] 
# header format: nodes [number of nodes] edges [number of edges]  
# node data format: v [id] [x] [y] [elevation] 
# edge data format: e [from_node_id] [to_node_id] [length] [1000 - height_gain] [popularity] [street_width] [100*random] 
# 
# 32bit integer values are used throughout. 
# Identifiers are all zero indexed. 
# 
nodes 16516 edges 33111 objectives 2 
v 672 2225356 48727852 113 
v 673 2224110 48726630 124 
v 674 2223471 48725996 132 
v 675 2224573 48728980 124 
v 676 2224154 48727962 130 
v 677 2223668 48729353 117 
v 678 2222623 48728116 138 
v 679 2221411 48726667 140 
v 680 2222121 48726092 139 
v 681 2224520 48725887 135 
v 682 2223277 48728049 135 
v 683 2221503 48728227 139 
v 684 2220301 48728527 134 
v 685 2219666 48728729 131 
v 686 2220834 48727149 140 
v 687 2219505 48728265 136 
v 688 2219587 48729681 118 
v 689 2219463 48728140 138 
v 690 2219169 48727364 139 
v 691 2218875 48726582 141 
v 692 2220527 48727388 139 
v 693 2217530 48727327 140 
v 694 2217599 48728092 137 
v 695 2230020 48727400 114 
v 696 2215237 48735240 83 
v 697 2215394 48734879 83 
v 698 2211882 48732608 89 
v 699 2209881 48734495 93 
v 700 2210073 48735007 96 
v 701 2207619 48734292 107 
v 702 2206759 48734207 109 
v 703 2206110 48734286 105 
v 704 2204976 48734322 100 
v 705 2201393 48733914 103 
v 706 2202257 48733111 103 
v 707 2203084 48733224 100 
v 708 2204579 48733682 97 
v 709 2200913 48732965 110 
v 710 2197624 48733124 123 
v 711 2203053 48733319 101 
v 712 2203530 48733731 101 
v 713 2200867 48734065 104 
v 714 2204448 48734575 102 
v 715 2206312 48732385 92 
v 716 2205114 48731752 98 
v 717 2168374 48766602 97 
v 718 2167617 48765685 89 
v 719 2169181 48765432 90 
v 720 2167676 48766075 91 
v 721 2168996 48766020 91 
v 722 2180821 48699676 58 
v 723 2181342 48699928 58 
v 724 2182574 48700149 59 
v 725 2185981 48700821 58 
v 726 2186313 48702132 76 
v 727 2183914 48702429 81 
v 728 2184111 48703434 90 
v 729 2184694 48702459 82 
v 730 2184888 48703466 90 
v 731 2183696 48701054 68 
v 732 2184955 48700929 61 
v 733 2184555 48701485 70 
v 734 2181274 48698941 62 
v 735 2182226 48698094 72 
v 736 2180819 48699498 58 
v 737 2179304 48699249 59 
v 738 2183175 48698014 73 
v 739 2179539 48699180 60 
v 740 2181938 48698234 70 
v 741 2179414 48697988 63 
v 742 2184902 48698822 65 
v 743 2187219 48700366 57 
v 744 2186184 48700402 58 
v 745 2183542 48698866 64 
v 746 2186450 48703454 88 
v 747 2183951 48699646 58 
v 748 2190040 48701682 65 
v 749 2186077 48697568 80 
v 750 2186758 48698004 76 
v 751 2187604 48698617 69 
v 752 2188713 48701181 62 
v 753 2188736 48701775 67 
v 754 2187382 48698415 72 
v 755 2182355 48697321 79 
v 756 2184789 48698218 71 
v 757 2189473 48700412 58 
v 758 2194707 48702581 59 
v 759 2194015 48703876 64 
v 760 2196510 48701114 55 
v 761 2195517 48700882 56 
v 762 2194850 48700804 55 
v 763 2196296 48702696 58 
v 764 2195704 48702659 59 
v 765 2198184 48702871 57 
v 766 2197514 48702728 56 
v 767 2168166 48766681 98 
v 768 2172668 48769372 115 
v 769 2127172 48729700 155 
v 770 2126137 48729789 155 
v 771 2161126 48764214 92 
v 772 2147274 48763486 141 
v 773 2166874 48693035 114 
v 774 2165314 48692029 125 
v 775 2164981 48694059 97 
v 776 2173129 48695252 88 
v 777 2176409 48694838 91 
v 778 2176190 48694256 96 
v 779 2175950 48693148 104 
v 780 2175725 48692217 116 
v 781 2175400 48692189 118 
v 782 2174044 48690811 145 
v 783 2184548 48696411 90 
v 784 2188530 48707139 87 
v 785 2188742 48707304 86 
v 786 2188236 48707285 88 
v 787 2191780 48700458 57 
v 788 2191646 48700467 57 
v 789 2191625 48700444 57 
v 790 2191777 48700392 57 
v 791 2191712 48700369 58 
v 792 2165687 48726660 155 
v 793 2190788 48707218 82 
v 794 2192428 48694783 101 
v 795 2190713 48703153 77 
v 796 2190736 48703046 76 
v 797 2191561 48704364 76 
v 798 2191738 48703917 74 
v 799 2190519 48707078 81 
v 800 2191513 48704516 76 
v 801 2192527 48704202 69 
v 802 2180043 48707691 151 
v 803 2181645 48705974 152 
v 804 2180941 48706723 151 
v 805 2186823 48695944 91 
v 806 2184842 48696554 88 
v 807 2184729 48695713 93 
v 808 2186308 48696793 87 
v 809 2188649 48697680 82 
v 810 2189164 48696807 85 
v 811 2186883 48696836 85 
v 812 2217548 48718940 153 
v 813 2108731 48731891 154 
v 814 2168699 48733390 152 
v 815 2219453 48749196 80 
v 816 2218820 48749025 85 
v 817 2279709 48798469 132 
v 818 2261956 48800825 114 
v 819 2263278 48800102 110 
v 820 2262812 48802784 108 
v 821 2264616 48802185 103 
v 822 2260680 48804304 116 
v 823 2173565 48714250 152 
v 824 2173414 48714391 152 
v 825 2194010 48700471 57 
v 826 2193986 48700494 57 
v 827 2193899 48700503 57 
v 828 2193866 48700487 57 
v 829 2193879 48700409 57 
v 830 2192431 48703687 69 
v 831 2204590 48703351 56 
v 832 2208899 48704804 68 
v 833 2207300 48704255 62 
v 834 2194341 48700338 58 
v 835 2194284 48700377 57 
v 836 2194227 48700473 57 
v 837 2205856 48705436 75 
v 838 2198448 48705245 72 
v 839 2200973 48705194 73 
v 840 2202112 48699549 70 
v 841 2201491 48699908 64 
v 842 2179659 48707994 151 
v 843 2184993 48705671 129 
v 844 2187042 48696963 84 
v 845 2173391 48704235 91 
v 846 2166103 48704297 89 
v 847 2164937 48704282 86 
v 848 2156792 48702785 84 
v 849 2173776 48702899 77 
v 850 2173592 48702025 65 
v 851 2175421 48704031 91 
v 852 2178487 48701520 72 
v 853 2179182 48701578 75 
v 854 2177351 48701473 70 
v 855 2179697 48701629 76 
v 856 2185493 48707729 109 
v 857 2186974 48708128 96 
v 858 2187453 48706116 97 
v 859 2187018 48704548 106 
v 860 2195936 48704739 70 
v 861 2195300 48706798 88 
v 862 2195835 48704089 63 
v 863 2195921 48704012 63 
v 864 2195745 48703977 62 
v 865 2188866 48703677 88 
v 866 2188725 48701648 65 
v 867 2187212 48700647 58 
v 868 2191076 48704886 76 
v 869 2192999 48703228 62 
v 870 2181311 48703682 92 
v 871 2187294 48706081 98 
v 872 2185635 48705809 115 
v 873 2183722 48701427 74 
v 874 2187731 48697794 78 
v 875 2188184 48697778 80 
v 876 2184892 48696620 88 
v 877 2195230 48705933 80 
v 878 2126182 48773773 121 
v 879 2126317 48774257 113 
v 880 2126527 48774958 107 
v 881 2126763 48775417 104 
v 882 2120033 48800876 124 
v 883 2122860 48803265 131 
v 884 2123152 48803206 131 
v 885 2121214 48802776 132 
v 886 2122384 48802463 132 
v 887 2137415 48796345 130 
v 888 2176674 48783997 177 
v 889 2205444 48776942 176 
v 890 2205006 48776842 176 
v 891 2180024 48778354 177 
v 892 2179576 48778105 177 
v 893 2216413 48772612 172 
v 894 2216357 48772325 173 
v 895 2215423 48765187 169 
v 896 2211040 48762443 170 
v 897 2191177 48769867 174 
v 898 2184075 48774057 173 
v 899 2202655 48762937 161 
v 900 2210104 48757428 110 
v 901 2212453 48755940 96 
v 902 2213589 48755216 96 
v 903 2207413 48779774 173 
v 904 2225097 48777510 163 
v 905 2224100 48784759 174 
v 906 2222740 48786374 171 
